,ACCP,CONF
1222,Y,
1223,,
1224,Y,Y
1225,Y,
1226,Y,Y
1227,,
1228,Y,
1229,Y,
1230,Y,
1231,Y,
1232,Y,
1233,Y,
1234,Y,
1235,Y,
1236,,
1237,Y,
1238,Y,
1239,Y,
1240,Y,
1241,Y,Y
1242,Y,
1243,,
1244,Y,
1245,,
1246,Y,
1247,Y,
1248,Y,
1249,Y,
1250,Y,
1251,Y,
1252,,
1253,Y,
1254,,
1255,Y,
1256,Y,
1257,,
1258,Y,
1259,Y,Y
1260,,
1261,,
1262,Y,Y
1263,Y,
1264,Y,
1265,Y,
1266,Y,
1267,,
1268,Y,
1269,,
1270,Y,Y
1271,,
1272,Y,Y
1273,,
1274,Y,
1275,Y,
1276,Y,
1277,Y,
1278,Y,
1279,,
1280,Y,
1281,,
1282,Y,
1283,,
1284,Y,
1285,Y,
1286,Y,
1287,Y,
1288,Y,
1289,Y,
1290,,
1291,,
1292,,
1293,Y,
1294,,
1295,Y,
1296,Y,
1297,Y,Y
1298,Y,
1299,Y,Y
1300,Y,
1301,,
1302,Y,
1303,Y,
1304,Y,
1305,Y,Y
1306,Y,Y
1307,Y,
1308,Y,
1309,Y,Y
1310,,
1311,Y,Y
1312,Y,
1313,Y,
1314,Y,
1315,Y,
1316,Y,
1317,Y,
1318,Y,
1319,Y,
1320,Y,
1321,,
1322,Y,Y
1323,Y,Y
1324,Y,
1325,Y,
1326,Y,
1327,Y,
1328,Y,
1329,Y,
1330,Y,
1331,Y,
1332,Y,
1333,Y,
1334,,
1335,Y,
1336,Y,
1337,,
1338,Y,Y
1339,Y,Y
1340,Y,
1341,Y,
1342,Y,
1343,,
1344,Y,
1345,Y,Y
1346,Y,Y
1347,Y,
1348,,
1349,Y,
1350,,
1351,Y,Y
1352,Y,
1353,Y,
1354,Y,Y
1355,Y,
1356,Y,
1357,Y,
1358,Y,
1359,,
1360,Y,
1361,Y,
1362,Y,
1363,Y,
1364,Y,
1365,Y,
1366,,
1367,Y,
1368,Y,
1369,,
1370,Y,
1371,Y,Y
1372,Y,
1373,Y,Y
1374,Y,
1375,Y,Y
1376,,
1377,Y,
1378,Y,
1379,,
1380,Y,
1381,Y,
1382,Y,
1383,Y,
1384,Y,
1385,Y,
1386,Y,Y
1387,Y,
1388,,
1389,Y,
1390,Y,
1391,,
1392,Y,
1393,Y,Y
1394,,
1395,Y,Y
1396,Y,
1397,Y,
1398,Y,
1399,Y,Y
1400,,
1401,Y,
1402,Y,
1403,,
1404,Y,
1405,Y,
1406,Y,
1407,Y,
1408,Y,Y
1409,,
1410,,
1411,Y,
1412,Y,
1413,Y,Y
1414,Y,
1415,,
1416,Y,
1417,Y,
1418,Y,
1419,Y,
1420,Y,
1421,Y,
1422,Y,
1423,Y,
1424,Y,Y
1425,,
1426,Y,Y
1427,Y,
1428,,
1429,Y,Y
1430,,
1431,Y,
1432,,
1433,Y,Y
1434,Y,Y
1435,Y,
1436,Y,
1437,Y,
1438,Y,
1439,Y,
1440,Y,Y
1441,Y,
1442,,
1443,,
1444,Y,
1445,Y,
1446,Y,
1447,Y,
1448,Y,
1449,Y,
1450,Y,
1451,Y,
1452,Y,
1453,Y,
1454,Y,
1455,Y,
1456,Y,
1457,Y,Y
1458,,
1459,Y,Y
1460,Y,
1461,Y,
1462,Y,
1463,Y,
1464,Y,
1465,Y,
1466,,
1467,Y,
1468,Y,Y
1469,Y,
1470,Y,
1471,Y,
1472,Y,
1473,Y,Y
1474,Y,
1475,Y,
1476,Y,
1477,Y,
1478,Y,Y
1479,Y,
1480,,
1481,,
1482,Y,
1483,Y,
1484,Y,
1485,Y,
1486,Y,
1487,Y,Y
1488,Y,
1489,Y,Y
1490,Y,Y
1491,Y,Y
1492,Y,
1493,,
1494,Y,
1495,Y,
1496,Y,
1497,Y,
1498,Y,
1499,Y,
1500,Y,
1501,Y,
1502,Y,
1503,Y,
1504,Y,
1505,Y,
1506,,
1507,,
1508,Y,
1509,Y,
1510,Y,
1511,Y,
1512,Y,
1513,Y,
1514,,
1515,Y,
1516,Y,
1517,Y,
1518,Y,
1519,Y,
1520,Y,
1521,,
1522,Y,
1523,Y,
1524,,
1525,Y,
1526,Y,
1527,Y,
1528,Y,
1529,Y,
1530,Y,
1531,Y,Y
1532,Y,
1533,Y,
1534,Y,
1535,,
1536,Y,
1537,Y,
1538,Y,
1539,Y,
1540,,
1541,,
1542,,
1543,Y,Y
1544,,
1545,Y,
1546,Y,
1547,Y,
1548,Y,
1549,Y,
1550,Y,
1551,Y,
1552,Y,
1553,Y,
1554,Y,
1555,Y,
1556,Y,
1557,Y,
1558,Y,
1559,Y,Y
1560,Y,
1561,,
